expanded_id,batch_id,run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,documentary_signal,actionable_signal,expanded_possible_score,queue_reason,screening_decision,screening_reason,screening_stage,screening_score,full_text_required
X001,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2484805907,https://doi.org/10.4018/978-1-59904-597-9,Handbook of Conversation Design for Instructional Applications,2008,Rocci Luppicini,book,"""This book presents key perspectives on the evolving area of conversation design, bringing together a body of work focused on the study of conversation and conversation design practices to inform instructional applications. Offering multimodal instructional designers and developers authoritative content on the cutting-edge issues and challenges in conversation design, it is a must-have for reference library collections worldwide"" - Provided by publisher",https://doi.org/10.4018/978-1-59904-597-9,,cc-by,hybrid,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X002,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2943249143,https://doi.org/10.1145/3290607.3298821,Conversation Design,2019,Margaret Urban; Stephen Mailey,conference-abstract,"With the rise of digital assistants, chatbots, and other conversational interfaces, there's a huge demand for detail and instruction for Conversation Design. This course provides a focused walkthrough of the principles, strategies, and process of Conversation Design. Topics include understanding users, defining persona, analyzing conversation components, dialog writing strategies, and the detailed process of creating natural dialog. Interactive components at each stage engage participants with individual worksheets, small group exercises and reviews, and a team project. Participants will gain an understanding of the complexity and challenges of Conversation Design, and learn about resources and tools for doing it well.",https://doi.org/10.1145/3290607.3298821,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X003,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2485752924,https://doi.org/10.4018/978-1-59904-597-9.ch001,Introducing Conversation Design,2008,Rocci Luppicini,book-chapter,"This chapter introduces theoretical and historical groundwork for understanding conversation design as an emerging field of research and practice. Over the last forty years, a growing multidisciplinary body of work has focused on conversation and design in a broad range of contexts. This chapter provides a selective overview of this diverse body of work within its various specialty areas. A skeletal description of the historical background, theoretical roots and main approaches is offered to help situate the reader within this emerging field. The chapter concludes with a look at practical applications in conversation design for the 21st century.",https://doi.org/10.4018/978-1-59904-597-9.ch001,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X004,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W3030491441,https://doi.org/10.1145/3334480.3382951,Supporting an Iterative Conversation Design Process,2020,Yoonseo Choi; Hyungyu Shin; Toni-Jan Keith Palma Monserrat; Nyoungwoo Lee; Jeongeon Park; Juho Kim,conference-paper,"Conversation design is an essential step in building a chatbot. Much like visual user interface design, conversation design benefits from prototyping and user testing to allow for conversation exploration and improvement. However, it can be overwhelming to quickly iterate on the conversation design as the iterative process requires not only designing a conversation but also building and testing a working chatbot equipped with the conversation. We developed ProtoChat, a prototype system that supports an iterative conversation design by allowing designers to (1) prototype conversations, (2) test the conversations with the crowd, and (3) review and analyze the crowdsourced conversation data. Results of an exploratory study with four conversation designers show that the designers successfully iterated on their conversation design by reviewing how the crowd followed the conversation, which provided insights into concrete action items for improving their conversation design.",https://doi.org/10.1145/3334480.3382951,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X005,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2504160860,https://doi.org/10.4018/978-1-59904-597-9.ch013,Applying Grounded Conversation Design to Instruction,2008,Rocci Luppicini,book-chapter,A grounded conversation design approach is posited as a way to study complex conversational processes within online learning environments. This approach is applied to online learning contexts to leverage conversation quality and learning. Study I examines conversations emerging within an online learning community created within an undergraduate class to critically discuss research. Study II applied conversational protocols derived from study I within an undergraduate online editorial board simulation intended to generate critical discourse. The chapter suggests how basic grounded conversation techniques can be applied in a variety of online learning environments to study conversation and develop grounded conversation theory within the context of online learning. Grounded conversation design is based on the assumption that conversation is situated and grounded within the social contexts from which it emerges.,https://doi.org/10.4018/978-1-59904-597-9.ch013,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X006,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2482792125,https://doi.org/10.4018/978-1-59904-597-9.ch009,Online Tutoring as Conversation Design,2008,Guadalupe de la Cruz Mendoza; Nick Kearney,book-chapter,"This chapter focuses on the design of conversations in online education. The central feature, conversation design, is presented as a continuous process that takes place not only during the preparatory phases but also during the emerging conversation, which is best understood as dialogue. We see dialogue as a useful way of understanding the principal task of the online tutor; the facilitation of the construction of knowledge by the learner within a framework of significant interaction. Furthermore, the developmental nature of this process requires a process in which the tutor, instead of implementing a series of actions designed previously, must adopt a role similar to that of the action researcher, continually observing, reflecting and adapting the process. The chapter proposes a range of theoretical considerations and practical techniques for structuring and facilitating these online learning dialogues. The aim is to offer theoretical and methodological approaches to the design of learning conversations (dialogue) as a mode of learning and constructing knowledge.",https://doi.org/10.4018/978-1-59904-597-9.ch009,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,8,sim
X007,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4239860512,https://doi.org/10.4018/9781599045979.ch001,Introducing Conversation Design,2011,Rocci Luppicini,book-chapter,"This chapter introduces theoretical and historical groundwork for understanding conversation design as an emerging field of research and practice. Over the last forty years, a growing multidisciplinary body of work has focused on conversation and design in a broad range of contexts. This chapter provides a selective overview of this diverse body of work within its various specialty areas. A skeletal description of the historical background, theoretical roots and main approaches is offered to help situate the reader within this emerging field. The chapter concludes with a look at practical applications in conversation design for the 21st century.Request access from your librarian to read this chapter's full text.",https://doi.org/10.4018/9781599045979.ch001,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,exclude-duplicate,"Duplicata bibliográfica de X003, com o mesmo título e conteúdo em outro registro de origem.",titulo-resumo-humano,6,nao
X008,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W3043605417,https://doi.org/10.1145/3405755.3406155,Leveraging the Crowd to Support the Conversation Design Process,2020,Yoonseo Choi; Hyungyu Shin; Toni-Jan Keith Palma Monserrat; Nyoungwoo Lee; Jeongeon Park; Juho Kim,conference-paper,"Building a chatbot with human-like conversation capabilities is essential for users to feel more natural in task completion. Many designers try to collect human conversation data and apply them into a chatbot conversation, aiming that it could work like a human conversation. To support conversation design, we propose the idea of inviting the crowd into the design process, where crowd workers contribute to improving the designed conversation. To explore this idea, we developed ProtoChat, a prototype system that supports a conversation design process by (1) allowing the crowd to actively suggest new utterances based on designers' pre-written design and (2) visually representing crowdsourced conversation data so that designers can analyze and improve their conversation design. Results of an exploratory study indicated that the crowd is helpful in providing insights and ideas as designers explore the design space.",https://doi.org/10.1145/3405755.3406155,,,closed,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X009,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W3120349745,https://doi.org/10.1145/3432924,ProtoChat,2021,Yoonseo Choi; Toni-Jan Keith Palma Monserrat; Jeongeon Park; Hyungyu Shin; Nyoungwoo Lee; Juho Kim,article,"Similar to a design process for designing graphical user interfaces, conversation designers often apply an iterative design process by defining a conversation flow, testing with users, reviewing user data, and improving the design. While it is possible to iterate on conversation design with existing chatbot prototyping tools, there still remain challenges in recruiting participants on-demand and collecting structured feedback on specific conversational components. These limitations hinder designers from running rapid iterations and making informed design decisions. We posit that involving a crowd in the conversation design process can address these challenges, and introduce ProtoChat, a crowd-powered chatbot design tool built to support the iterative process of conversation design. ProtoChat makes it easy to recruit crowd workers to test the current conversation within the design tool. ProtoChat's crowd-testing tool allows crowd workers to provide concrete and practical feedback and suggest improvements on specific parts of the conversation. With the data collected from crowd-testing, ProtoChat provides multiple types of visualizations to help designers analyze and revise their design. Through a three-day study with eight designers, we found that ProtoChat enabled an iterative design process for designing a chatbot. Designers improved their design by not only modifying the conversation design itself, but also adjusting the persona and getting UI design implications beyond the conversation design itself. The crowd responses were helpful for designers to explore user needs, contexts, and diverse response formats. With ProtoChat, designers can successfully collect concrete evidence from the crowd and make decisions to iteratively improve their conversation design.",https://doi.org/10.1145/3432924,,,closed,3,6,sistema=1;produto-design=3,screening-required,Automação não substitui leitura ontológica.,1,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,8,sim
X010,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W1986188827,https://doi.org/10.1109/32.24717,A simplification of a conversation design scheme using Petri nets,1989,Jie Wu; Eduardo B. Fernández,article,"In the conversation design procedure, the definition of the state of the system is one of the most important aspects. The question is how to identify transitions in Occam programs in order to express them as Petri nets. In the paper, a simplified transition identification method is proposed. Using the robot arm control program of A.M. Tyrrell and D.J. Holding it is shown that the correspondent Petri net graph is simpler than theirs, but the communication state change table is the same. It is also shown that these two methods are equivalent.>",https://doi.org/10.1109/32.24717,,,closed,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,full-text-review,"O resumo descreve estado e transições em um esquema de conversação, mas o uso histórico do termo precisa ser verificado no texto integral.",titulo-resumo-humano,7,sim
X011,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W2492243454,https://doi.org/10.4018/978-1-59904-597-9.ch007,Conversation Design in the Electronic Discussion Age,2008,Gregory MacKinnon,book-chapter,"The goal of the chapter to examine a way in which Pask’ s conversation theory (CT) can be used as a theoretical framework for designing blended courses using a collaborative inquiry approach for teaching and learning in campus-based university. This chapter comprises three parts that explains a) the constructs of CT, and their relations in regard to online collaborative inquiry, b) the four principles derived from the constructs of CT and the possible use of these principles to design a blended course, and c) how the effects of these constructs can be used to assess the effectiveness of this CT based blended course design. This chapter is concluded with the discussion and implications for course design, and future research on CT.",https://doi.org/10.4018/978-1-59904-597-9.ch007,,,closed,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,7,sim
X012,B01,20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4404224824,https://doi.org/10.3390/app142210316,Beyond Binary Dialogues: Research and Development of a Linguistically Nuanced Conversation Design for Social Robots in Group–Robot Interactions,2024,Christoph Bensch; Ana Müller; Oliver Chojnowski; Anja Richert,article,"In this paper, we detail the technical development of a conversation design that is sensitive to group dynamics and adaptable, taking into account the subtleties of linguistic variations between dyadic (i.e., one human and one agent) and group interactions in human–robot interaction (HRI) using the German language as a case study. The paper details the implementation of robust person and group detection with YOLOv5m and the expansion of knowledge databases using large language models (LLMs) to create adaptive multi-party interactions (MPIs) (i.e., group–robot interactions (GRIs)). We describe the use of LLMs to generate training data for socially interactive agents including social robots, as well as a self-developed synthesis tool, knowledge expander, to accurately map the diverse needs of different users in public spaces. We also outline the integration of a LLM as a fallback for open-ended questions not covered by our knowledge database, ensuring it can effectively respond to both individuals and groups within the MPI framework.",http://dx.doi.org/10.3390/app142210316,,cc-by,gold,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,provisional-include,"O título e o resumo tratam Design Conversacional, sua fundamentação, seus métodos, suas práticas ou seus efeitos como objeto central; a decisão depende de confirmação no texto integral.",titulo-resumo-humano,8,sim
